arquivo,duracao_segundos,frequencia_amostragem,amplitude_media,amplitude_maxima,amplitude_ratio (mean/max),snr_estimado_db,zero_crossing_rate,regioes_silencio,silencio/tempo,cluster
YgfwpTQvLpg,31.521104166666667,48000.0,0.2631447,1.0719175,0.2454896867275238,40.211685,0.0365229749873139,0.0,0.0,57.0
PY-_lZCtzwA,37.604729166666665,48000.0,0.022507181,0.35015014,0.0642786622047424,34.39696,0.0295635879005955,0.0,0.0,70.0
TEORVjzXufc,29.675104166666667,48000.0,0.02890225,0.40946683,0.0705850794911384,25.131903,0.0279730941766978,0.0,0.0,70.0
ExDFV4xCS1Y,10.15875,48000.0,0.08998455,0.48647815,0.1849714070558548,50.79298,0.0144532274724554,0.0,0.0,26.0
CKlHsYQ81WU,68.81235416666667,48000.0,0.07486837,1.0063939,0.0743927136063575,40.587303,0.0724716990613375,17.0,0.24704866162295833,54.0
1lwKn503WVw,275.516375,48000.0,0.038942464,0.26972425,0.1443787962198257,173.564,0.0560079009690766,0.0,0.0,69.0
HthZGPocHIk,29.268770833333335,48000.0,0.21065795,1.0681949,0.1972092986106872,188.1167,0.0563594718021137,0.0,0.0,3.0
KRyaxwPHM3M,11.4590625,48000.0,0.19058833,1.0349517,0.1841519027948379,31.290922,0.0203129542151162,0.0,0.0,4.0
my9kLRBX23U,5.013333333333334,48000.0,0.16729467,1.0114844,0.1653952002525329,56.03312,0.0038886262606157,1.0,0.19946808510638298,4.0
O5ot5C8YROc,18.346666666666668,48000.0,0.08552092,0.58180004,0.1469936668872833,27.189789,0.0288352633824811,0.0,0.0,55.0
Z72IEwpwCwM,11.2616875,48000.0,0.03486412,0.37093598,0.0939895883202552,32.24939,0.0265512177438446,0.0,0.0,9.0
K1aD3sWl9dI,60.00097916666667,48000.0,0.07692391,1.1759703,0.0654131397604942,24.48463,0.031980686072476,15.0,0.24999592020546887,35.0
prv_8zqQzvM,5.537979166666666,48000.0,0.0363851,0.3517449,0.1034417301416397,43.12042,0.0228309044471153,0.0,0.0,9.0
LmucOA-qz3U,41.30133333333333,48000.0,0.37526777,1.225131,0.3063082695007324,37.72759,0.0419212083252646,0.0,0.0,10.0
QcA-DTLX4Oc,1088.574708333333,48000.0,0.023170201,1.7130456,0.0135257355868816,28.330463,0.1453836106757819,568.0,0.52178320481985,40.0
KXJU2AZKtDU,10.9714375,48000.0,0.16635913,1.0836935,0.1535112261772155,31.926243,0.0332543731778425,1.0,0.09114575915872464,4.0
X3YS7fkq26o,23.936,48000.0,0.0824887,0.50214386,0.1642730385065078,32.403873,0.0388162931514476,0.0,0.0,55.0
m8XtyJ0D9TM,58.316916666666664,48000.0,0.18001993,1.16324,0.1547573506832122,67.941696,0.0550318329370885,0.0,0.0,27.0
Uiz9wEh4aIs,47.07845833333333,48000.0,0.17407699,1.1868474,0.1466717422008514,27.685526,0.0416063413287267,2.0,0.042482274713399534,36.0
MKZVSH1EApM,6.373895833333333,48000.0,0.1559217,0.748989,0.2081762254238128,90.02723,0.0601467783235785,0.0,0.0,27.0
8G73vO1SRwE,58.003458333333334,48000.0,0.00028586085,0.04299821,0.0066482033580541,23.167746,0.014810060569143,20.0,0.34480702659252355,65.0
yvNNydemYQk,19.539604166666667,48000.0,0.18804194,1.0483779,0.1793646663427353,29.489399,0.0479288559293122,0.0,0.0,41.0
SnKBSSVuX6M,12.770979166666669,48000.0,0.23994555,1.1611681,0.2066415250301361,35.586426,0.084519120409015,0.0,0.0,32.0
-swyIbASKeo,42.49252083333333,48000.0,0.19675916,1.1700857,0.1681579202413559,28.379036,0.0376200848315135,0.0,0.0,4.0
WDZ8niNlrqc,58.769708333333334,48000.0,0.110887334,0.84105766,0.1318427324295044,47.341633,0.0497700381408802,17.0,0.28926466511588667,63.0
F8UbGGA1Vu0,56.43610416666667,48000.0,0.14289118,1.5513744,0.0921061858534812,24.051273,0.0454252910307597,0.0,0.0,43.0
azGFIxktV-I,41.319916666666664,48000.0,0.117310256,1.5556307,0.0754100903868675,32.496593,0.0364240923060789,5.0,0.12100702042396827,43.0
oMNXI5Avcc4,60.07004166666667,48000.0,0.20092995,1.1519378,0.1744277775287628,30.572035,0.0430545806884765,0.0,0.0,4.0
96Ly2HXGu1w,30.812895833333332,48000.0,0.0687211,1.0352029,0.0663841888308525,29.586239,0.0256727092527691,8.0,0.25963155307673536,35.0
uIcUAM9FBBE,13.653333333333334,48000.0,0.03919155,0.2720914,0.1440381854772567,36.831383,0.0165428620218579,0.0,0.0,50.0
sweOddUh-zo,58.839375,48000.0,0.13643195,0.9760552,0.1397789269685745,33.18857,0.0711253285299981,2.0,0.03399084371647388,58.0
awb4SkMgqVg,23.510208333333335,48000.0,0.02447521,0.400408,0.0611256770789623,21.974651,0.0182891776502267,0.0,0.0,70.0
s_SUmC_Goy8,17.647166666666667,48000.0,0.015487661,0.3497151,0.0442865081131458,22.409946,0.0375079659176737,1.0,0.05666632037248661,70.0
