n_neighbors,n_components,min_dist,min_cluster_size,min_samples,cluster_eps,embedding_model,coherence,diversity,silhouette
10,10,0.1,150,10,0.1,all-distilroberta-v1,0.5558035798792422,0.8642857142857143,0.5549048781394958
10,10,0.1,150,10,0.1,paraphrase-MiniLM-L6-v2,0.48292195626559103,0.73,0.6654775738716125
10,10,0.1,150,10,0.1,neuralmind/bert-base-portuguese-cased,0.5623217828565518,0.9,-0.1129119023680687
10,10,0.1,150,100,0.1,all-MiniLM-L6-v2,0.4483429096816291,0.775,0.5331334471702576
10,10,0.1,150,100,0.1,all-distilroberta-v1,0.5889149836665285,0.83,0.6180029511451721
10,10,0.1,150,100,0.1,paraphrase-MiniLM-L6-v2,0.44982109155890954,0.85,0.6667194366455078
10,10,0.1,150,100,0.1,neuralmind/bert-base-portuguese-cased,0.5579621726630809,0.9333333333333333,0.6043679118156433
10,10,0.5,50,5,0.1,all-MiniLM-L6-v2,0.4500102242020697,0.7909090909090909,0.4710783362388611
10,10,0.5,50,5,0.1,all-distilroberta-v1,0.37487816016941233,0.975,-0.1636117845773697
10,10,0.5,50,5,0.1,paraphrase-MiniLM-L6-v2,0.4096880171888087,0.7454545454545455,0.28458622097969055
10,10,0.5,50,5,0.1,neuralmind/bert-base-portuguese-cased,0.49886365026681684,0.85,0.3046128451824188
10,10,0.5,50,10,0.1,all-MiniLM-L6-v2,0.37856812934325135,0.825,-0.2579783797264099
10,10,0.5,50,10,0.1,all-distilroberta-v1,0.5069664054823667,0.9357142857142857,0.20290488004684448
10,10,0.5,50,10,0.1,paraphrase-MiniLM-L6-v2,0.407990079091627,0.8,0.47444289922714233
10,10,0.5,50,10,0.1,neuralmind/bert-base-portuguese-cased,0.42431296220451176,0.975,0.3080545961856842
10,10,0.5,50,100,0.1,all-MiniLM-L6-v2,0.4669681998375372,0.8166666666666667,0.6180552840232849
10,10,0.5,50,100,0.1,all-distilroberta-v1,0.5319256068137596,0.9,0.4496966600418091
10,10,0.5,50,100,0.1,paraphrase-MiniLM-L6-v2,0.456429120311605,0.7625,0.7682042717933655
10,10,0.5,50,100,0.1,neuralmind/bert-base-portuguese-cased,0.5003538258982856,0.925,0.6744807362556458
10,10,0.5,100,5,0.1,all-MiniLM-L6-v2,0.4080660890211825,0.7666666666666667,-0.15496954321861267
10,10,0.5,100,5,0.1,all-distilroberta-v1,0.5749847881874378,0.8388888888888889,0.618125319480896
10,10,0.5,100,5,0.1,paraphrase-MiniLM-L6-v2,0.47568852816700113,0.8,0.5296937823295593
10,10,0.5,100,5,0.1,neuralmind/bert-base-portuguese-cased,0.46784589206634863,0.875,0.4682301878929138
10,10,0.5,100,10,0.1,all-MiniLM-L6-v2,0.3456615901861347,0.8166666666666667,-0.14466486871242523
10,10,0.5,100,10,0.1,all-distilroberta-v1,0.5373133546786693,0.9083333333333333,0.2749318480491638
10,10,0.5,100,10,0.1,paraphrase-MiniLM-L6-v2,0.47577552383801613,0.8333333333333334,0.5971243977546692
10,10,0.5,100,10,0.1,neuralmind/bert-base-portuguese-cased,0.42431296220451176,0.975,0.3080545961856842
10,10,0.5,100,100,0.1,all-MiniLM-L6-v2,0.4669681998375372,0.8166666666666667,0.6180552840232849
10,10,0.5,100,100,0.1,all-distilroberta-v1,0.42353731168927605,0.825,0.5198115706443787
10,10,0.5,100,100,0.1,paraphrase-MiniLM-L6-v2,0.44779106134462515,0.8,0.7853795886039734
10,10,0.5,100,100,0.1,neuralmind/bert-base-portuguese-cased,0.5003538258982856,0.925,0.6744807362556458
10,10,0.5,150,5,0.1,all-MiniLM-L6-v2,0.4396649828591187,0.8,-0.1623210608959198
10,10,0.5,150,5,0.1,all-distilroberta-v1,0.48290017627923215,0.9166666666666666,0.3457360863685608
